Asset,Mean(r),Skew(r),Kurtosis(r),JB Stat,JB p-value,LB10 Stat,LB10 p-value
GSPC,0.0005731572100286063,-0.42758646172585113,8.24912796244862,242.45195029481576,2.250235283686485e-53,18.035045930677086,0.054375336199467994
BA,0.00022874023761757208,0.22471819659911035,10.643324025651971,911.3026389217291,1.2976162818386817e-198,19.796104977740512,0.03124125464844527
ETH-USD,0.0026303039777933637,-0.20633321019534726,12.165786613012958,1599.0897592661051,0.0,17.58512232466082,0.062378512661570705
USDPLN,-3.0600538102693445e-05,0.12023932065810576,8.148654151354382,195.7465567607093,3.1201485672290292e-43,26.635741195360954,0.002972979504020317
GOLD,0.00030027386049136636,-0.5494538583351831,8.53903240252005,320.52313038993486,2.5077634863002283e-70,16.718359277605014,0.08083294055837416
PORTFOLIO,0.0007403749495656429,-0.5423806155372558,9.693415991094746,620.5049481156357,1.815777038306124e-135,21.010220242645968,0.021022411755625657
